date,value,MA
2015-01-05,121,70.4
2015-01-06,133,85.6
2015-01-07,107,86.0
2015-01-08,81,94.2
2015-01-09,92,106.8
2015-01-10,47,92.0
2015-01-11,31,71.6
2015-01-12,107,71.6
2015-01-13,150,85.4
2015-01-14,155,98.0
2015-01-15,162,121.0
2015-01-16,152,145.2
2015-01-17,82,140.2
2015-01-18,57,121.6
2015-01-19,102,111.0
2015-01-20,197,118.0
2015-01-21,214,130.4
2015-01-22,174,148.8
2015-01-23,143,166.0
2015-01-24,80,161.6
2015-01-25,73,136.8
2015-01-26,163,126.6
2015-01-27,207,133.2
2015-01-28,198,144.2
2015-01-29,125,153.2
2015-01-30,140,166.6
2015-01-31,89,151.8
2015-02-01,86,127.6
2015-02-02,195,127.0
2015-02-03,214,144.8
2015-02-04,155,147.8
2015-02-05,155,161.0
2015-02-06,148,173.4
2015-02-07,102,154.8
2015-02-08,80,128.0
2015-02-09,212,139.4
2015-02-10,218,152.0
2015-02-11,175,157.4
2015-02-12,159,168.8
2015-02-13,149,182.6
2015-02-14,71,154.4
2015-02-15,66,124.0
2015-02-16,99,108.8
2015-02-17,194,115.8
2015-02-18,230,132.0
2015-02-19,170,151.8
2015-02-20,160,170.6
2015-02-21,102,171.2
2015-02-22,78,148.0
2015-02-23,217,145.4
2015-02-24,198,151.0
2015-02-25,178,154.6
2015-02-26,150,164.2
2015-02-27,150,178.6
2015-02-28,90,153.2
2015-03-01,103,134.2
2015-03-02,257,150.0
2015-03-03,188,157.6
2015-03-04,181,163.8
2015-03-05,143,174.4
2015-03-06,180,189.8
2015-03-07,104,159.2
2015-03-08,61,133.8
2015-03-09,212,140.0
2015-03-10,166,144.6
2015-03-11,131,134.8
2015-03-12,132,140.4
2015-03-13,144,157.0
2015-03-14,86,131.8
2015-03-15,74,113.4
2015-03-16,169,121.0
2015-03-17,166,127.8
2015-03-18,146,128.2
2015-03-19,167,144.4
2015-03-20,157,161.0
2015-03-21,79,143.0
2015-03-22,70,123.8
2015-03-23,199,134.4
2015-03-24,168,134.6
2015-03-25,127,128.6
2015-03-26,154,143.6
2015-03-27,157,161.0
2015-03-28,82,137.6
2015-03-29,59,115.8
2015-03-30,199,130.2
2015-03-31,206,140.6
2015-04-01,224,154.0
2015-04-02,170,171.6
2015-04-03,144,188.6
2015-04-04,74,163.6
2015-04-05,43,131.0
2015-04-06,204,127.0
2015-04-07,167,126.4
2015-04-08,160,129.6
2015-04-09,161,147.0
2015-04-10,130,164.4
2015-04-11,74,138.4
2015-04-12,53,115.6
2015-04-13,207,125.0
2015-04-14,188,130.4
2015-04-15,168,138.0
2015-04-16,129,149.0
2015-04-17,153,169.0
2015-04-18,80,143.6
2015-04-19,64,118.8
2015-04-20,192,123.6
2015-04-21,165,130.8
2015-04-22,158,131.8
2015-04-23,135,142.8
2015-04-24,111,152.2
2015-04-25,60,125.8
2015-04-26,56,104.0
2015-04-27,185,109.4
2015-04-28,147,111.8
2015-04-29,145,118.6
2015-04-30,127,132.0
2015-05-01,192,159.2
2015-05-02,74,137.0
2015-05-03,63,120.2
2015-05-04,185,128.2
2015-05-05,182,139.2
2015-05-06,144,129.6
2015-05-07,121,139.0
2015-05-08,118,150.0
2015-05-09,51,123.2
2015-05-10,49,96.6
2015-05-11,176,103.0
2015-05-12,208,120.4
2015-05-13,146,126.0
2015-05-14,127,141.2
2015-05-15,151,161.6
2015-05-16,53,137.0
2015-05-17,71,109.6
2015-05-18,158,112.0
2015-05-19,173,121.2
2015-05-20,139,118.8
2015-05-21,123,132.8
2015-05-22,122,143.0
2015-05-23,50,121.4
2015-05-24,36,94.0
2015-05-25,65,79.2
2015-05-26,151,84.8
2015-05-27,199,100.2
2015-05-28,169,124.0
2015-05-29,126,142.0
2015-05-30,63,141.6
2015-05-31,62,123.8
2015-06-01,222,128.4
2015-06-02,199,134.4
2015-06-03,150,139.2
2015-06-04,126,151.8
2015-06-05,106,160.6
2015-06-06,53,126.8
2015-06-07,56,98.2
2015-06-08,148,97.8
2015-06-09,134,99.4
2015-06-10,161,110.4
2015-06-11,130,125.8
2015-06-12,117,138.0
2015-06-13,63,121.0
2015-06-14,56,105.4
2015-06-15,169,107.0
2015-06-16,160,113.0
2015-06-17,123,114.2
2015-06-18,122,126.0
2015-06-19,129,140.6
2015-06-20,67,120.2
2015-06-21,47,97.6
2015-06-22,169,106.8
2015-06-23,152,112.8
2015-06-24,124,111.8
2015-06-25,134,125.2
2015-06-26,118,139.4
2015-06-27,63,118.2
2015-06-28,54,98.6
2015-06-29,152,104.2
2015-06-30,144,106.2
2015-07-01,150,112.6
2015-07-02,130,126.0
2015-07-03,91,133.4
2015-07-04,38,110.6
2015-07-05,41,90.0
2015-07-06,176,95.2
2015-07-07,158,100.8
2015-07-08,169,116.4
2015-07-09,106,130.0
2015-07-10,119,145.6
2015-07-11,51,120.6
2015-07-12,48,98.6
2015-07-13,145,93.8
2015-07-14,145,101.6
2015-07-15,115,100.8
2015-07-16,92,109.0
2015-07-17,68,113.0
2015-07-18,39,91.8
2015-07-19,48,72.4
2015-07-20,164,82.2
2015-07-21,127,89.2
2015-07-22,134,102.4
2015-07-23,83,111.2
2015-07-24,102,122.0
2015-07-25,42,97.6
2015-07-26,40,80.2
2015-07-27,129,79.2
2015-07-28,96,81.8
2015-07-29,83,78.0
2015-07-30,84,86.4
2015-07-31,107,99.8
2015-08-01,81,90.2
2015-08-02,56,82.2
2015-08-03,155,96.6
2015-08-04,133,106.4
2015-08-05,125,110.0
2015-08-06,117,117.2
2015-08-07,118,129.6
2015-08-08,65,111.6
2015-08-09,37,92.4
2015-08-10,122,91.8
2015-08-11,128,94.0
2015-08-12,92,88.8
2015-08-13,95,94.8
2015-08-14,102,107.8
2015-08-15,53,94.0
2015-08-16,35,75.4
2015-08-17,129,82.8
2015-08-18,123,88.4
2015-08-19,118,91.6
2015-08-20,97,100.4
2015-08-21,90,111.4
2015-08-22,47,95.0
2015-08-23,39,78.2
2015-08-24,116,77.8
2015-08-25,98,78.0
2015-08-26,90,78.0
2015-08-27,92,87.0
2015-08-28,93,97.8
2015-08-29,42,83.0
2015-08-30,36,70.6
2015-08-31,136,79.8
2015-09-01,172,95.8
2015-09-02,109,99.0
2015-09-03,98,110.2
2015-09-04,89,120.8
2015-09-05,71,107.8
2015-09-06,51,83.6
2015-09-07,54,72.6
2015-09-08,143,81.6
2015-09-09,133,90.4
2015-09-10,154,107.0
2015-09-11,117,120.2
2015-09-12,56,120.6
2015-09-13,54,102.8
2015-09-14,128,101.8
2015-09-15,126,96.2
2015-09-16,73,87.4
2015-09-17,124,101.0
2015-09-18,86,107.4
2015-09-19,48,91.4
2015-09-20,39,74.0
2015-09-21,116,82.6
2015-09-22,119,81.6
2015-09-23,97,83.8
2015-09-24,88,91.8
2015-09-25,111,106.2
2015-09-26,51,93.2
2015-09-27,25,74.4
2015-09-28,140,83.0
2015-09-29,135,92.4
2015-09-30,119,94.0
2015-10-01,141,112.0
2015-10-02,115,130.0
2015-10-03,42,110.4
2015-10-04,35,90.4
2015-10-05,108,88.2
2015-10-06,140,88.0
2015-10-07,115,88.0
2015-10-08,89,97.4
2015-10-09,93,109.0
2015-10-10,59,99.2
2015-10-11,29,77.0
2015-10-12,118,77.6
2015-10-13,128,85.4
2015-10-14,115,89.8
2015-10-15,103,98.6
2015-10-16,88,110.4
2015-10-17,60,98.8
2015-10-18,42,81.6
2015-10-19,108,80.2
2015-10-20,141,87.8
2015-10-21,122,94.6
2015-10-22,124,107.4
2015-10-23,103,119.6
2015-10-24,41,106.2
2015-10-25,42,86.4
2015-10-26,128,87.6
2015-10-27,119,86.6
2015-10-28,109,87.8
2015-10-29,96,98.8
2015-10-30,94,109.2
2015-10-31,43,92.2
2015-11-01,63,81.0
2015-11-02,156,90.4
2015-11-03,155,102.2
2015-11-04,123,108.0
2015-11-05,120,123.4
2015-11-06,105,131.8
2015-11-07,61,112.8
2015-11-08,49,91.6
2015-11-09,142,95.4
2015-11-10,143,100.0
2015-11-11,132,105.4
2015-11-12,123,117.8
